Jahr;Originaltitel;Sprache;lemmatisierter Titel
2009;Der Bischof und sein Kaiser. Zum Verhältnis von Erzbischof Balduin und Kaiser Heinrich in der Romfahrt;Deutsch;bischof kaiser verhältnis erzbischof balduin kaiser heinrich romfahrt
2009;Der Kaiser und der Königsmacher. Trierer Bausteine einer Luxemburger memoria;Deutsch;kaiser königsmacher trierer bausteine luxemburger memoria
2009;Krieg und höfische Welt in Balduins Bilderchronik;Deutsch;krieg höfisch welt balduin bilderchronik
2009;„...eynen rechten, festen und steden burchfryden zu halden uff unser burch“. Burgfrieden als Quellen für das Zusammenleben auf der mittelalterlichen Burg;Deutsch;eynen rechten festen steden burchfryden halden uff unser burch burgfrieden zusammenleben mittelalterlich burg
2009;Ein Fest am Hof. Das Ritual der “Vogelgelübde” als politisches Medium;Deutsch;fest hof ritual vogelgelübde politisch medium
2009;Lieux de mémoire au Luxemburg, lieux de mémoire en Europe;Französisch;lieu mémoire Luxemburg lieu mémoire europe
2009;Luxemburg, Metz und das Reich. Die Reichsstadt Metz im Gesichtsfeld Karls IV;Deutsch;luxemburg metz reich reichsstadt metz gesichtsfeld karls
2009;Vianden 1308. Der Viandener “Freiheitsbrief” in seinem historischen Kontext;Deutsch;vianden viandener freiheitsbrief seinem historisch kontext
2010;Actes princiers et naissance des principautés territoriales. Chartes et pouvoir laïques dans les espaces mosan et mosellan (fin Xe-début XIIe siècle);Französisch;acte princier naissance principauté territorial charte pouvoir laïque espace mosan mosellan fin début 
2010;Der Codex Mariendalensis. Vom mittelalterlichen Manuskript zum Erinnerungsort;Deutsch;codex mariendalensis mittelalterlich manuskript erinnerungsort
2010;„Hanrey de Lucembour emperour plus eureus que August et meilleur que Trayan“. Konstruktion und Rezeption des Kaiserbildes Heinrichs VII. in der maas-Moselen Literatur zum Italienzug;Deutsch;hanrey lucembour emperour eureus august meilleur trayan konstruktion rezeption kaiserbildes heinrich maas Mosel literatur italienzug
2010;Les « vœux sur les oiseaux ». Mutations d’un rite d’intégration entre mémoire chevaleresque et actualité politique;Französisch;vœu oiseaux mutation rite intégration mémoire chevaleresque actualité politique
2010;Siegfried I. (Sicco, Sigefridus Kunuz), Graf von Luxemburg * um 919, † 28. 10. vermutlich 998, begr. Trier, Sankt Maximin;Deutsch;siegfried sicco sigefridus kunuz graf luxemburg vermutlich begr trier sankt maximin
2010;Umdeutung der Geschichte. Erzbischof Balduin, Kaiser Heinrich VII. und der Italienzug in der Trierer Bilderchronik und den Gesta Baldewini;Deutsch;umdeutung geschichte erzbischof balduin kaiser heinrich italienzug trierer bilderchronik gesta baldewini
2011;Regum de stirpe. Some aspects of the Monastic Policy of John of Luxemburg, King of Bohemia and Count of Luxemburg;Englisch;regum stirpe aspect monastic policy john Luxemburg king bohemia count Luxemburg
2011;The Campaign of Henry VII (1310-1313) to Italy as the origin of the grandeur of the House of Luxemburg;Englisch;campaign henry italy origin grandeur house Luxemburg
2011;Pouvoirs et espaces comtaux. Le cas des comtés ardennais (Xe-XIIIe siècle);Französisch;pouvoir espace comtal cas comté ardennais 
2011;Les vœux sur les oiseaux. Fortune littéraire d’un rite de cour. Usages politiques d’un motif littéraire;Französisch;vœu oiseaux fortune littéraire rite cour usage politique motif littéraire
2011;« Nous ne sommes ni l’une, ni l’autre, mais les deux à la fois ». Entre France et Germanie, les identités lotharingienes en question (fin IXe-milieu XIe siècles);Französisch;somme ni ni deux fois france germanie identité lotharingie question fin milieu 
2011;L’histoire impériale au service de la bourgeoisie. Les Chroniques de Jacques d’Esch et la maison impériale de Luxemburg;Französisch;histoire impérial service bourgeoisie chronique jacque esch maison impérial Luxemburg
2011;Die lotharingieen Teilnehmer an den Kreuzzügen ins Heilige Land. Aspekte des Kulturtransfers vom 11. zum 13. Jahrhundert;Deutsch;lotharingie teilnehmer kreuzzug heilig land aspekt kulturtransfers 
2011;Medieval Myths and the Building of National Identity. The Example of the Grand Duchy of Luxemburg;Englisch;medieval myth building national identity example grand duchy Luxemburg
2011;Peter “von Aspelt”, Erzbischof von Mainz (†1320), in Geschichte und Rezeption. Von der schwierigen Zuordnung der Biographie;Deutsch;peter aspelt erzbischof mainz geschichte rezeption schwierig zuordnung biographie
2011;Die Rezeption des Krak des Chevaliers in Historiographie, Burgenforschung und Geschichtsunterricht;Deutsch;rezeption krak chevalier historiographie burgenforschung geschichtsunterricht
2012;L’épouse au pouvoir. Le pouvoir de l’héritière entre « pays », dynasties et politique impériale à l’exemple de la maison de Luxemburg (XIIIe-XIVe s.);Französisch;épouse pouvoir pouvoir héritière pays dynasty politique impérial exemple maison Luxemburg
2012;Introduction. Mythes et mémoires au Bas Moyen Âge;Französisch;introduction mythe mémoire bas moyen âge
2012;Vianden;Deutsch;vianden
